age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,earn,capital-remain
1, State-gov, Bachelors, Never-married, Adm-clerical,, White, Male,0, United-States, <=50K,0
1,, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,, <=50K,
1,, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,, <=50K,0
1, Private,,,, Husband,, Male,0, United-States, <=50K,0
,, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0, Cuba, <=50K,0
1, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White,,0, United-States, <=50K,0
1,, 9th, Married-spouse-absent, Other-service,, Black,,, Jamaica, <=50K,0
1,, HS-grad, Married-civ-spouse, Exec-managerial,, White, Male,0, United-States, >50K,0
1,, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,1, United-States, >50K,
, Private,,, Exec-managerial,, White, Male,0, United-States, >50K,1
1, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,1,, >50K,0
1, State-gov,, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0, India, >50K,0
1, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,, <=50K,0
, Private, Assoc-acdm, Never-married,, Not-in-family, Black, Male,1, United-States, <=50K,
, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,,, >50K,0
1, Private,, Married-civ-spouse, Transport-moving,, Amer-Indian-Eskimo, Male,0, Mexico, <=50K,0
1, Self-emp-not-inc, HS-grad,, Farming-fishing, Own-child, White, Male,0, United-States, <=50K,0
, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0, United-States, <=50K,
1,, 11th, Married-civ-spouse, Sales,, White,,, United-States, <=50K,0
, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White,,, United-States, >50K,0
1, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,, United-States, >50K,0
, Private,, Separated,,,,,, United-States, <=50K,0
1, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,, <=50K,0
1, Private,, Married-civ-spouse, Transport-moving, Husband, White, Male,, United-States, <=50K,0
1, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0, United-States, <=50K,0
1, Local-gov,,, Tech-support,, White, Male,0, United-States, >50K,0
0,, HS-grad,, Craft-repair, Own-child,, Male,0, United-States, <=50K,0
1,, Some-college, Married-civ-spouse,,, Asian-Pac-Islander, Male,1,, >50K,0
, Private, HS-grad,, Exec-managerial, Not-in-family, White, Male,1,, <=50K,
, Private, HS-grad, Married-civ-spouse,, Husband, White, Male,0, United-States, <=50K,
1,, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,, United-States, <=50K,0
0, Private, Some-college, Never-married,, Own-child, Black, Male,0, United-States, <=50K,0
1, Private, Bachelors,, Exec-managerial, Own-child,, Male,0,, <=50K,
1, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical,, White,,, United-States, <=50K,0
1,, Some-college, Married-civ-spouse,, Husband, Black, Male,0, United-States, <=50K,0
1,, 11th, Never-married, Machine-op-inspct,, White, Male,,, <=50K,0
1, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,, <=50K,0
0, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female,0, United-States, <=50K,
1, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,, >50K,0
1, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty,, White, Male,0,, <=50K,0
1,, 9th, Married-civ-spouse, Machine-op-inspct, Husband,, Male,0, United-States, <=50K,
1,, Bachelors, Married-civ-spouse,, Husband, White, Male,0,, <=50K,0
1, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,1, United-States, <=50K,0
1, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,, <=50K,
1, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0, United-States, <=50K,
, Federal-gov,, Married-civ-spouse,, Husband, Black, Male,0,, >50K,0
1, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,, Male,0, United-States, <=50K,0
1, Private, Masters, Divorced, Exec-managerial,, White, Female,, United-States, <=50K,0
,, Assoc-voc, Married-civ-spouse,,, White, Male,0, United-States, <=50K,0
, Private,, Never-married, Prof-specialty, Not-in-family, White, Male,0, United-States, <=50K,0
, Private, Some-college,, Exec-managerial, Wife,, Female,, United-States, <=50K,0
0, Private,, Never-married, Other-service, Own-child,, Female,0,, <=50K,0
1, Private,, Married-civ-spouse,, Wife,, Female,, Honduras, >50K,0
1, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,, United-States, >50K,0
, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family,, Male,1, United-States, <=50K,0
1,,, Married-civ-spouse, Tech-support, Husband, White, Male,, United-States, >50K,0
1, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White,,0, Mexico, <=50K,
1,, Assoc-voc, Married-civ-spouse, Other-service, Husband,, Male,, Puerto-Rico, <=50K,0
1, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,, <=50K,0
1, Private, HS-grad, Married-civ-spouse, Machine-op-inspct,, White, Male,, United-States, <=50K,
1, Private,, Married-civ-spouse, Sales, Husband, White,,0, United-States, <=50K,
1,, 7th-8th,,, Not-in-family, White, Male,0,, <=50K,
, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0, United-States, <=50K,0
1, Private,, Married-civ-spouse, Prof-specialty, Husband, White, Male,, United-States, >50K,0
, Private, Some-college, Divorced,, Not-in-family, White, Male,,, <=50K,0
,, HS-grad, Married-civ-spouse, Craft-repair, Husband,, Male,0, United-States, <=50K,0
1,,, Divorced, Adm-clerical, Not-in-family, White,,0, United-States, <=50K,
1, Private,, Married-civ-spouse, Adm-clerical, Wife, White,,0, United-States, >50K,0
1, Self-emp-inc,, Married-civ-spouse, Exec-managerial, Husband, White, Male,1, United-States, >50K,
1,, Some-college, Never-married,,, White, Male,, United-States, <=50K,0
0, Private,,, Prof-specialty, Own-child, White, Male,0,, <=50K,
,, Bachelors, Separated, Sales,, Black, Female,0, United-States, <=50K,0
1,, Bachelors,, Sales, Husband, White, Male,, United-States, >50K,0
,, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0, United-States, <=50K,0
, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0, United-States, <=50K,0
1, Private,,, Other-service, Own-child, White,,0, Mexico, <=50K,0
1, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White,,0, United-States, <=50K,0
2,,,,, Husband, White, Male,0,, <=50K,0
0, Private, 11th, Never-married, Other-service, Own-child, White, Female,, United-States, <=50K,
1, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing,, White, Male,, United-States, <=50K,0
0, Private, HS-grad, Never-married, Sales,, White, Male,0,, <=50K,
1, Private, Bachelors, Married-civ-spouse, Other-service,, White, Male,0, Cuba, <=50K,0
1, Private, HS-grad,, Other-service,, White, Female,0, United-States, <=50K,0
, Private,, Married-civ-spouse,, Husband, White,,0, United-States, <=50K,0
, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0, United-States, >50K,1
, Private,, Divorced, Sales, Own-child, White, Female,0, United-States, <=50K,0
,, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0, United-States, >50K,0
1, Private, Masters, Married-civ-spouse, Prof-specialty, Husband,, Male,1,, <=50K,
1, Private, 9th, Never-married, Sales, Not-in-family, White, Male,0, United-States, <=50K,0
1, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,1,, >50K,0
1, Private, Assoc-voc, Married-civ-spouse,, Husband,, Male,0, United-States, <=50K,0
1, Private,,, Craft-repair, Unmarried, White, Female,0,, <=50K,0
1, Private, Some-college, Divorced, Machine-op-inspct, Unmarried,, Female,0, United-States, <=50K,0
1, Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,, <=50K,0
, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White,,0, United-States, >50K,0
1,, Some-college,, Handlers-cleaners, Not-in-family, White, Male,, United-States, <=50K,0
1, Self-emp-not-inc,,,,, White, Male,,, >50K,0
1, Private, Some-college,, Sales, Husband,,,0,, >50K,0
1, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White,,0, England, <=50K,
,,, Never-married, Other-service, Own-child, Black, Male,0, United-States, <=50K,0
, Private, Masters, Married-civ-spouse,, Husband, White, Male,, United-States, >50K,
, Private, Bachelors, Married-civ-spouse, Exec-managerial,, White, Male,, United-States, >50K,1
1, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,1, United-States, <=50K,0
0, Private, Some-college,,, Own-child,,,0, United-States, <=50K,0
1,,, Never-married,, Not-in-family, White, Male,0,, <=50K,
, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White,,, United-States, >50K,
,,, Never-married,, Own-child, White,,0,, <=50K,
1, Private, 11th, Never-married,, Own-child, White,,0, United-States, <=50K,0
1,, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,, <=50K,0
1, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,, United-States, <=50K,0
1, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,0,, <=50K,0
, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,, >50K,0
, Self-emp-not-inc, HS-grad, Married-civ-spouse,, Husband, White, Male,1, Canada, >50K,0
1, Private, Some-college, Married-civ-spouse, Sales, Wife, White,,0, United-States, <=50K,0
1, Private, HS-grad,, Machine-op-inspct, Own-child, White,,0, United-States, <=50K,0
1,, 9th,, Handlers-cleaners, Husband,, Male,1, United-States, <=50K,0
1, Self-emp-inc, Some-college, Married-civ-spouse,, Husband,, Male,, United-States, <=50K,
1,, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black,,0, United-States, >50K,0
1, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,, United-States, <=50K,0
1, Private, HS-grad,, Craft-repair, Not-in-family, White, Male,0, United-States, <=50K,0
1, Private, Some-college,, Other-service, Own-child,,,0, United-States, <=50K,0
1, Private,, Married-civ-spouse, Exec-managerial, Husband, White, Male,1, United-States, <=50K,
