age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,earn,capital-remain
1, Private, 11th, Never-married, Machine-op-inspct, Own-child, Black, Male,0, United-States, <=50K.,0
1,, HS-grad,, Farming-fishing, Husband,, Male,,, <=50K.,0
1, Local-gov,, Married-civ-spouse, Protective-serv, Husband, White, Male,0,, >50K.,0
1, Private, Some-college, Married-civ-spouse,, Husband,,,0, United-States, >50K.,1
,,, Never-married,,, White, Female,0, United-States, <=50K.,0
1, Private,,, Other-service, Not-in-family,, Male,0, United-States, <=50K.,0
1,, HS-grad, Never-married,, Unmarried, Black, Male,0, United-States, <=50K.,0
, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White,,0, United-States, >50K.,0
, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0, United-States, <=50K.,0
1, Private,,, Craft-repair, Husband, White, Male,0, United-States, <=50K.,0
2, Private, HS-grad,, Machine-op-inspct, Husband, White, Male,0, United-States, >50K.,1
, Federal-gov, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0, United-States, <=50K.,
1,, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0, United-States, <=50K.,0
1,, HS-grad,,, Husband,,,0, United-States, <=50K.,0
,, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,, >50K.,0
1, Private,, Married-civ-spouse, Exec-managerial,, White, Male,1, United-States, >50K.,0
0,, Some-college, Never-married, Other-service, Own-child, White, Male,0,, <=50K.,0
,,, Married-civ-spouse, Adm-clerical, Wife,, Female,,, <=50K.,0
1, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White,,0, United-States, <=50K.,0
1,, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,, >50K.,0
1, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,, >50K.,0
1, Private, Some-college, Never-married, Other-service, Own-child,, Female,0, United-States, <=50K.,0
2,, 7th-8th,,, Not-in-family, White, Female,0, United-States, <=50K.,0
1, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0, Peru, <=50K.,
, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0, United-States, <=50K.,0
1, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,1,, >50K.,
1, Private,, Never-married, Adm-clerical, Own-child, White, Male,0,, <=50K.,
1, Private, HS-grad,, Machine-op-inspct, Unmarried,, Male,1, United-States, <=50K.,
1, Private, HS-grad,, Craft-repair,, White, Male,0, United-States, <=50K.,0
1, Self-emp-not-inc,, Never-married,, Not-in-family,, Male,, United-States, <=50K.,0
